Artifact Name,Date,Culture/Region,Material,Dimensions,Category/Type,Object Number,Description,Artifact Image URL,Authenticity
Pair of Knives with Sheath,18th–19th century,Indian,"Steel, silver, ivory, velvet, wood",Knife (a); L. with sheath 10 1/4 in. (26 cm); L. without sheath 8 9/16 in. (21.7 cm); L. of blade 5 in. (12.7 cm); W. 11/16 in. (1.7 cm); Wt. 1.6 oz. (45.4 g); knife (b); L. 8 9/16 in. (21.7 cm); L. of blade 5 in. (12.7 cm); W. 11/16 in. (1.7 cm); Wt. 1.7 oz. (48.2 g); sheath (c); Wt. 1.1 oz. (31.2 g),Knives,36.25.1050a–c,"This artifact, named 'Pair of Knives with Sheath', was crafted using Steel, silver, ivory, velvet, wood. It originates from the Indian culture. This piece dates back to 18th–19th century. It belongs to the category of Knives.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/31446/1369498/main-image,Authentic
Chape and Ferrule,dated 1270,"possibly French, possibly German",Iron,34) L. 2 3/8 in. (6 cm); 35) Diam. 1 1/2 in. (3.8 cm),Swords-Accessories,28.99.34–.35,"This artifact, named 'Chape and Ferrule', was crafted using Iron. It originates from the possibly French, possibly German culture. This piece dates back to dated 1270. It belongs to the category of Swords-Accessories.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/26471/1420015/main-image,Authentic
Rowel Spur,second half 17th century,German,Iron alloy,L. 5 5/8 in. (14.3 cm); W. 3 1/4 in. (8.3 cm); Diam. of rowel 1 3/8 in. (3.5 cm); Wt. 4.3 oz. (121.9 g),Equestrian Equipment-Spurs,14.25.1699,"The body of this elegant spur is decorated with geometric designs and acanthus leaves in relief. Now overcleaned, the motifs used to stand out on a black background still preserved on the neck. The rowel alternates sharp and blunt points, moderating its severity.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/33686/1949454/main-image,Authentic
Pair of Stirrups,possibly 17th–18th century,"Indian, Central or South India",Bronze,Stirrup (a); H. 4 1/2 in. (11.4 cm); W. 5 in. (12.7 cm); D. 1 3/4 in. (4.5 cm); Wt. 11.8 oz. (334.5 g); stirrup (b); H. 4 in. (10.2 cm); W. 5 in. (12.7 cm); D. 1 3/4 in. (4.5 cm); Wt. 11 oz. (311.8 g),Equestrian Equipment-Stirrups,"36.25.516a, b","This artifact, named 'Pair of Stirrups', was crafted using Bronze. It originates from the Indian, Central or South India culture. This piece dates back to possibly 17th–18th century. It belongs to the category of Equestrian Equipment-Stirrups.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/31879/1687288/main-image,Authentic
Tournament Helm (Kolbenturnierhelm),1450–1500,German,"Steel, textile, leather, gesso, polychromy",H. 19 5/8 in. (49.8 cm); W. 10 1/2 in. (26.7 cm); D. 14 1/8 in. (35.9 cm); Wt. 12 lb. 10 oz. (5727 g),Helmets,40.135.3,"This extremely rare helmet was intended for the tournament fought by groups of mounted combatants armed with clubs (Kolben) or blunted swords. The helmet is formed from an iron framework covered by canvas and gesso impressed with a floral design based on textile patterns. Due to the fragile nature of the raised gesso decoration, very few of these helmets survive. At the rear is the coat of arms of the von Stein family, which here appears as three black wolf traps on a white shield.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/24678/1677727/main-image,Authentic
Knife Handle (Kozuka),19th century,Japanese,"Copper-gold alloy (shakudō), silver, gold, copper",L. 3 13/16 in. (9.7 cm); W. 9/16 in. (1.4 cm); thickness 1/4 in. (0.6 cm); Wt. 1.3 oz. (36.9 g),Sword Furniture-Kozuka,43.120.112,"Akozukais a handle of a by-knife that is part of a sword mounting. It is kept in a slot on the reverse of akatanascabbard, often with a matchingkōgai(hairdressing tool).",https://collectionapi.metmuseum.org/api/collection/v1/iiif/28633/1593265/restricted,Authentic
Close Helmet,ca. 1550,"Italian, Milan or Brescia","Steel, gold, silver",H. 11 3/4 in. (29.9 cm); W. 14 in. (35.6 cm); D. 14 in. (35.6 cm); Wt. 6 lb. 14 oz. (3128 g),Helmets,29.17,"The fantastic appearance of this helmet, with its visor shaped like a griffin's head and the comb of the bowl raised into the form of a serpent's body, indicates that it was part of an elaborate pageant armor.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/23054/58549/main-image,Authentic
Fauchard of the Bodyguard of Cardinal Scipione Borghese-Caffarelli (1576–1633),ca. 1600–1610,Italian,"Steel, copper, gold, silver, wood, textile",L. 113 3/4 in. (288.93 cm),Shafted Weapons,54.46.16,"The blade on this fauchard is very similar to another staff weapon in the Metropolitan Museum's collection (acc. no. 14.25.273), but this example is without the pierced rosettes. Except for the tip and the cutting edge, the blade is decorated similarly on both sides with a series of medallions and ornamental strapwork cartouches outlined in silver-encrusted dots and set against a blued background finely damascened with gold scrolls. The ornament within the medallions and cartouches is chiseled and gilt on a punched background and includes, from top to bottom, a grotesque, the papal tiara and crossed keys of Saint Peter, three palm branches projecting through a crown, a basilisk, the Borghese arms (a dragon displayed, on a chief an eagle displayed) surmounted by an archbishop's hat with ten tassels, an eagle, and a grotesque. The side straps and their rivets are decorated with punched and gilt ornament to match the blade and its socket. A tassel of silver-colored thread is mounted at the base of the socket. The octagonal wooden shaft is covered with red velvet and studded with copper rivets, and terminates in a sharp iron point.This example, one of two bearing the Borghese arms in the Metropolitan Museum, is surely one of the most elaborate and beautiful staff weapons ever produced, and combines all known techniques of metal decoration: bluing, gilding, engraving, and damascening, as well as encrustation with gold and silver. The owner of these staff weapons has traditionally been identified as Camillo Borghese (1552–1621), who became a cardinal in 1596 and who was elected to the papacy (as Paul V) in 1605. More recently, however, Boccia and Coelho have suggested that the owner may have been Cardinal Scipione Borghese-Caffarelli, a nephew of Paul V who was adopted into the Borghese family. Thirteen of these staff weapons remained in the Villa Borghese in Rome until 1892–93, when its contents were dispersed. A backplate for a child's armor decorated in the same technique and with the same motifs, which surely comes from the same workshop as these fauchards, is in the Kienbusch Collection in the Philadelphia Museum of Art.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/24831/1362930/main-image,Authentic
Halberd,late 15th century,German,"Steel, wood (oak)",L. 81 3/8 in. (206.6 cm); L. of head 16 in. (40.6 cm); W. 8 3/4 in. (22.2 cm); Wt. 4 lbs. 12 oz. (2154.6 g),Shafted Weapons,14.25.51,"The head of this halberd incorporates three basic elements: an axe-like blade, an apical spike, and a beak. The axe blade, which gives the weapon its name (derived from the GermanHalm, long shaft, andBarte, axe) was used for hacking, the spike for thrusting, and the beak either for piercing a plate of armor (against which the cutting edge would have been useless), or for pulling a knight from his saddle.The halberd was a foot-soldier's weapon particularly popular in Germany and Switzerland. It was the most versatile of shafted weapons a man on foot could use; though the pike was the main weapon for the massed squares of foot soldiers so important in fifteenth- and sixteenth- century battles, the halberd was preferred both by SwissReisläuferand GermanLandsknecht(mercenaries). It had the advantage that it could be used in a pinch by a single man, such as when ambushed on a foraging or plundering raid, while a twelve-foot-long pike was of use only by soldiers in massed formation, and for a single man was more of a hindrance.In the formal development of the halberd, the offset socket pointing to the rear, as in this example, indicates a date before the middle of the sixteenth century.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/25898/1413372/main-image,Authentic
Dagger with Sheath,18th–19th century,"Philippine, Mindanao","Steel, wood, wood (bamboo), polychromy, textile",L. with sheath 11 1/8 in. (28.3 cm); L. without sheath 11 in. (27.9 cm); L. of blade 7 1/2 in. (19.1 cm); W. 1 in. (2.5 cm); Wt. 3.4 oz. (96.4 g); Wt. of sheath 1.4 oz. (39.7 g),Knives,"36.25.852a, b","This artifact, named 'Dagger with Sheath', was crafted using Steel, wood, wood (bamboo), polychromy, textile. It originates from the Philippine, Mindanao culture. This piece dates back to 18th–19th century. It belongs to the category of Knives.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/31644/1481983/main-image,Authentic
Tiger's Claw (Bagh Nakh),18th–19th century,Indian,Steel,H. 2 1/4 in. (5.7 cm); W. 4 in. (10.2 cm); D. 1 1/4 in. (3.2 cm); Wt. 1.8 oz. (51 g),Miscellaneous,36.25.2870,"This artifact, named 'Tiger's Claw (Bagh Nakh)', was crafted using Steel. It originates from the Indian culture. This piece dates back to 18th–19th century. It belongs to the category of Miscellaneous.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/30162/1509997/main-image,Authentic
Sword-Hilt Collar and Pommel (Fuchigashira),late 18th–early 19th century,Japanese,"Copper-gold alloy (shakudō), gold",Fuchi (a); H. 1 1/2 in. (3.8 cm); Wt. 0.7 oz. (19.8 g); kashira (b); H. 1 3/8 in. (3.5 cm); Wt. 0.4 oz. (11.3 g),Sword Furniture-Fuchi-Kashira,"43.120.1205a, b",Afuchigashirais a pair of matching sword fittings comprising thefuchi(collar at the base of the grip of the sword hilt) andkashira(pommel cap at the end of a sword hilt).,https://collectionapi.metmuseum.org/api/collection/v1/iiif/25997/1601225/main-image,Authentic
Archer's Ring,17th–19th century,Chinese,Jade,H. 1 5/16 in. (3.3 cm); Diam. 1 1/8 in. (2.9 cm); Wt. 1.3 oz. (36.9 g),Archery Equipment-Archer's Ring,36.25.2733,"This artifact, named 'Archer's Ring', was crafted using Jade. It originates from the Chinese culture. This piece dates back to 17th–19th century. It belongs to the category of Archery Equipment-Archer's Ring.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/30203/1675620/restricted,Authentic
Pair of Sword-Grip Ornaments (Menuki),1750–87,Japanese,"Copper-silver alloy (shibuichi), gold",L. of each 1 7/16 in. (3.7 cm); W. of each 13/16 in. (2.1 cm); Wt. of each 0.3 oz. (8.5 g),Sword Furniture-Menuki,"36.120.483a, b",Menukiare a pair of ornamental sword fittings attached to either side of a sword hilt.,https://collectionapi.metmuseum.org/api/collection/v1/iiif/29670/1606999/main-image,Authentic
Wheellock Pistol,ca. 1590,"German, Augsburg","Steel, wood, staghorn",L. 20 1/2 in. (52.1 cm); L. of barrel 12 7/8 in. (32.7 cm); Cal. .51 in. (13 mm); Wt. 3 lb. 8 oz. (1587.6 g),Firearms-Pistols-Wheellock,14.25.1402b,"The blued barrel is in two stages, round at the front with a flaring muzzle, octagonal at the breech, and it is ornamented with chiseled crescents and circles. It bears two marks: a hunting horn in a shield, and a pine cone (the control mark of the city of Augsburg). The wheellock has a spring-closed pan cover with release button, and safety catch. The cock is chiseled with a stylized dragon.The ebonized stock is inlaid with staghorn engraved with stylized foliage and geometric patterns, two crowned heads on the grip, and two creatures with human heads on the left side. The incisions were blackened to make the design stand out.After the wheellock ignition mechanism was devised around 1500, it was first applied to firearms used on horseback. In fact the appearance of pistols––weapons handled with one hand––was due to the invention of the wheellock, and by the middle of the sixteenth century they became part of the equipment of middle and light cavalry, not just weapons available exclusively to men of high rank as had initially been the case. Since an ordinary pistol could deliver only one shot and had to be reloaded to fire the next round, pistols were commonly made in pairs and carried in leather holsters, one on each side of the saddle. A large ball-shaped pommel on the pistol grip made it easier to retrieve from the holster and also helped to conterbalance a heavy barrel.The city of Augsburg was one of the foremost arms-producing centers in Europe, and its armorers were among the first to produce wheellock pistols and carbines. Since wheellock firearms were fairly expensive, even pistols of military type, as represented by this example, rarely left the gunmaker's shop undecorated. The preferred decorative technique of German stockmakers from the sixteenth century on was the inlay of engraved staghorn plaques into the wood. Apart from the simple decorative effects of contrasting materials, use of staghorn inlays also reinforced the wooden stock, which was particularly vulnerable to the rough use of military firearms.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/27308/1870152/main-image,Authentic
